iter	Passed	Remaining
948	7461	401
949	7471	393
950	7480	385
951	7489	377
952	7498	369
953	7508	362
954	7517	354
955	7527	346
956	7536	338
957	7545	330
958	7554	322
959	7563	315
960	7573	307
961	7582	299
962	7592	291
963	7601	283
964	7610	276
965	7620	268
966	7629	260
967	7638	252
968	7647	244
969	7657	236
970	7667	228
971	7676	221
972	7686	213
973	7695	205
974	7704	197
975	7714	189
976	7723	181
977	7733	173
978	7743	166
979	7752	158
980	7761	150
981	7770	142
982	7780	134
983	7789	126
984	7799	118
985	7808	110
986	7817	102
987	7826	95
988	7835	87
989	7844	79
990	7854	71
991	7863	63
992	7872	55
993	7882	47
994	7891	39
995	7900	31
996	7910	23
997	7918	15
998	7928	7
999	7937	0
